District Name,SPED_ENR_N,TOTAL_ENR,SPED_PROP,PS_RCGT80_%,PS_RC4079_%,PS_RCL40_%,PS_SSOS_%,PS_PSS_%,PS_MUK_%,RB,RB_PROP,RI,RI_PROP,RA,RA_PROP,RF,RF_PROP,RH,RH_PROP,RD,RD_PROP,RP,RP_PROP,RT,RT_PROP,RW,RW_PROP,state,urban code,city,Cluster
abc unified,2244.0,18081.0,0.1241081798573087,55.2,19.3,19.1,1.2,5.3,0,193,0.0860071301247771,0,0.0,261,0.1163101604278075,172,0.0766488413547237,1317,0.5868983957219251,66,0.0294117647058823,14,0.0062388591800356,84,0.0374331550802139,134,0.0597147950089126,CA,13,CERRITOS,1
acton-agua dulce unified,2248.0,12875.0,0.1746019417475728,90.4,5.1,3.8,0.3,0.4,0,210,0.0934163701067615,12,0.0053380782918149,37,0.016459074733096,0,0.0,1341,0.5965302491103203,63,0.0280249110320284,0,0.0,114,0.0507117437722419,459,0.2041814946619217,CA,41,ACTON,0
adelanto elementary,1144.0,8348.0,0.1370388116914231,52.3,12.7,32.3,2.0,0.8,0,249,0.2176573426573426,0,0.0,0,0.0,0,0.0,725,0.6337412587412588,43,0.0375874125874125,0,0.0,46,0.0402097902097902,65,0.0568181818181818,CA,41,ADELANTO,1
alameda county office of education,440.0,3914.0,0.1124169647419519,89.3,4.1,2.3,3.6,0.7,0,100,0.2272727272727272,0,0.0,38,0.0863636363636363,0,0.0,226,0.5136363636363637,0,0.0,0,0.0,36,0.0818181818181818,22,0.05,CA,41,HAYWARD,0
albany city unified,334.0,3574.0,0.0934527140458869,70.4,16.5,5.1,2.7,5.4,0,25,0.0748502994011976,0,0.0,76,0.2275449101796407,0,0.0,75,0.2245508982035928,19,0.0568862275449101,0,0.0,38,0.1137724550898203,97,0.2904191616766467,CA,21,ALBANY,0
alhambra unified,1529.0,14602.0,0.1047116833310505,56.2,18.0,18.2,3.7,3.9,0,17,0.0111183780248528,0,0.0,399,0.2609548724656638,35,0.0228907782864617,978,0.6396337475474166,11,0.0071942446043165,0,0.0,51,0.0333551340745585,36,0.0235448005232177,CA,21,ALHAMBRA,1
alum rock union elementary,1262.0,8668.0,0.1455929856945085,57.7,11.4,18.8,0.5,11.6,0,11,0.0087163232963549,0,0.0,108,0.0855784469096671,36,0.028526148969889,1053,0.8343898573692552,0,0.0,0,0.0,23,0.0182250396196513,25,0.019809825673534,CA,11,SAN JOSE,1
anaheim union high,3929.0,27195.0,0.1444750873322302,51.7,27.8,14.3,6.2,0.0,0,117,0.0297785696105879,15,0.0038177653346907,231,0.0587935861542377,83,0.0211249681852888,3022,0.7691524560956986,18,0.0045813184016289,12,0.0030542122677526,72,0.0183252736065156,359,0.0913718503435988,CA,11,ANAHEIM,2
antelope valley union high,3930.0,22602.0,0.1738784178391292,36.6,32.9,27.7,2.7,0.0,0,962,0.2447837150127226,12,0.0030534351145038,16,0.0040712468193384,24,0.0061068702290076,2362,0.6010178117048346,25,0.0063613231552162,0,0.0,172,0.043765903307888,351,0.0893129770992366,CA,21,LANCASTER,2
antioch unified,2796.0,16045.0,0.17425989404799,49.7,13.9,24.9,5.8,5.7,0,844,0.3018597997138769,13,0.0046494992846924,70,0.025035765379113,82,0.0293276108726752,1268,0.4535050071530758,0,0.0,37,0.0132331902718168,152,0.0543633762517882,329,0.1176680972818311,CA,22,ANTIOCH,1
apple valley unified,2012.0,15252.0,0.1319171256228691,44.8,15.5,33.4,4.3,2.0,0,233,0.1158051689860834,0,0.0,12,0.0059642147117296,0,0.0,1098,0.5457256461232605,0,0.0,0,0.0,64,0.0318091451292246,582,0.2892644135188866,CA,22,APPLE VALLEY,1
arcadia unified,720.0,8988.0,0.0801068090787717,51.3,16.7,20.7,1.4,10.0,0,20,0.0277777777777777,0,0.0,290,0.4027777777777778,28,0.0388888888888888,244,0.3388888888888889,13,0.0180555555555555,0,0.0,35,0.0486111111111111,86,0.1194444444444444,CA,13,ARCADIA,1
